datetime,close,fast_ema,slow_ema,signal,buy_signal,sell_signal
2025-02-06 12:12:00,127.74,127.65700815423968,127.51002408222897,1,127.74,
2025-02-06 12:13:00,127.89,127.69937030801427,127.53453865756904,1,,
2025-02-06 12:14:00,127.8456,127.72595752473894,127.55460713127427,1,,
2025-02-06 12:15:00,127.88,127.75396524751368,127.57560021957916,1,,
2025-02-06 12:16:00,127.985,127.79597156614754,127.60201310863857,1,,
2025-02-06 12:17:00,128.0399,127.84032219048436,127.63026387582319,1,,
2025-02-06 12:18:00,128.135,127.89389997403265,127.66282749673783,1,,
2025-02-06 12:19:00,128.18,127.94591816057216,127.69619346469024,1,,
2025-02-06 12:20:00,128.22,127.9957512222863,127.72998743471022,1,,
2025-02-06 12:21:00,128.205,128.03379645459788,127.76063340666441,1,,
2025-02-06 12:22:00,128.215,128.0667425537619,127.789947380428,1,,
2025-02-06 12:23:00,128.13,128.07824390762337,127.81188625911007,1,,
2025-02-06 12:24:00,128.035,128.07038137896456,127.8262806940062,1,,
2025-02-06 12:25:00,128.0552,128.06762112824373,127.84104968148968,1,,
2025-02-06 12:26:00,128.06,128.06623546856304,127.85517550849036,1,,
2025-02-06 12:27:00,128.09,128.07055629246065,127.87032547568454,1,,
2025-02-06 12:28:00,128.1901,128.09229151201325,127.89095609015651,1,,
2025-02-06 12:29:00,128.125,128.098238509829,127.90605569724319,1,,
2025-02-06 12:30:00,128.265,128.12855878076917,127.92921339419526,1,,
2025-02-06 12:31:00,128.295,128.1588208206293,127.95281253005363,1,,
2025-02-06 12:32:00,128.3401,128.19178067142397,127.97779881843728,1,,
2025-02-06 12:33:00,128.34,128.21872964025596,128.00116663660262,1,,
2025-02-06 12:34:00,128.33,128.23896061475486,128.0223816923057,1,,
2025-02-06 12:35:00,128.2952,128.2491859575267,128.03998287344726,1,,
2025-02-06 12:36:00,128.225,128.24478851070364,128.05191946225713,1,,
2025-02-06 12:37:00,128.1883,128.2345178723939,128.06071820662766,1,,
2025-02-06 12:38:00,128.24,128.23551462286773,128.07228477394202,1,,
2025-02-06 12:39:00,128.255,128.23905741870996,128.08407285304253,1,,
2025-02-06 12:40:00,128.2088,128.2335560698536,128.09211976574946,1,,
2025-02-06 12:41:00,128.1614,128.22043678442566,128.09658945828176,1,,
2025-02-06 12:42:00,127.935,128.16853918725735,128.086164331941,1,,
2025-02-06 12:43:00,128.035,128.14425933502872,128.08286340729967,1,,
2025-02-06 12:44:00,128.195,128.15348491047803,128.09009802618357,1,,
2025-02-06 12:45:00,128.2044,128.162742199482,128.09747234707496,1,,
2025-02-06 12:46:00,128.225,128.17406179957618,128.10569993758625,1,,
2025-02-06 12:47:00,128.138,128.16750510874414,128.1077838125807,1,,
2025-02-06 12:48:00,128.195,128.17250417988154,128.11341066338196,1,,
2025-02-06 12:49:00,128.2299,128.18293978353944,128.1209261044541,1,,
2025-02-06 12:50:00,128.215,128.188768913805,128.12699538803773,1,,
2025-02-06 12:51:00,128.11,128.1744472931132,128.12589891139015,1,,
2025-02-06 12:52:00,128.1647,128.1726750580017,128.1284022074295,1,,
2025-02-06 12:53:00,128.385,128.21127959291044,128.1449569037244,1,,
2025-02-06 12:54:00,128.63,128.28741057601763,128.17625000670992,1,,
2025-02-06 12:55:00,128.605,128.34515410765079,128.2039112965996,1,,
2025-02-06 12:56:00,128.495,128.37239881535064,128.22269121294804,1,,
2025-02-06 12:57:00,128.667,128.42596266710507,128.25135629598364,1,,
2025-02-06 12:58:00,128.6444,128.46567854581323,128.27671395430727,1,,
2025-02-06 12:59:00,128.685,128.50555517384717,128.30305498951327,1,,
2025-02-06 13:00:00,128.6701,128.53547241496585,128.3267353127705,1,,
2025-02-06 13:01:00,128.5115,128.53111379406297,128.3386556151724,1,,
2025-02-06 13:02:00,128.29,128.48727492241514,128.3355165432258,1,,
2025-02-06 13:03:00,128.25,128.44413402743055,128.32999934688866,1,,
2025-02-06 13:04:00,128.44,128.44338238607952,128.33709616321843,1,,
2025-02-06 13:05:00,128.48,128.45004013406503,128.34631576559144,1,,
2025-02-06 13:06:00,128.53,128.46457829150773,128.35816636135974,1,,
2025-02-06 13:07:00,128.62,128.49283678396085,128.37505885417525,1,,
2025-02-06 13:08:00,128.56,128.50504827778616,128.38699054100266,1,,
2025-02-06 13:09:00,128.56,128.51503950000685,128.39815244158314,1,,
2025-02-06 13:10:00,128.44,128.50139595455104,128.40085228406164,1,,
2025-02-06 13:11:00,128.53,128.5065966900872,128.40918439476735,1,,
2025-02-06 13:12:00,128.55,128.51448820098045,128.4182692725243,1,,
2025-02-06 13:13:00,128.53,128.5173085280749,128.425477706555,1,,
