datetime,close,fast_ema,slow_ema,signal,position_side,signal_strength
2025-02-06 12:12:00,127.74,127.65700815423968,127.51002408222897,1,FLAT,0.14698407201071007
2025-02-06 13:49:00,128.5814,128.82189539719744,128.84394252653988,-1,LONG,0.022047129342439575
2025-02-06 14:30:00,128.02,127.84405711902465,127.82827490353127,1,SHORT,0.015782215493388208
2025-02-06 14:50:00,127.8001,128.02538627943153,128.0518087223741,-1,LONG,0.02642244294256102
2025-02-06 15:00:00,128.1488,128.04993040798036,128.04601951225945,1,SHORT,0.0039108957209066375
2025-02-06 15:22:00,128.01,128.12444492794822,128.13799701974582,-1,LONG,0.013552091797606636
2025-02-06 16:00:00,128.0299,127.94525561458225,127.94185248648883,1,SHORT,0.003403128093424357
2025-02-06 16:10:00,127.86,127.9465714731025,127.95392440572122,-1,LONG,0.007352932618729824
2025-02-06 16:23:00,127.9999,127.9335305561072,127.93222350770829,1,SHORT,0.0013070483989139348
2025-02-07 01:23:00,128.27,128.50910681173121,128.54009926073786,-1,LONG,0.03099244900664644
2025-02-07 02:45:00,127.6,127.52361790672296,127.51326304359806,1,SHORT,0.010354863124902636
2025-02-07 03:12:00,127.58,127.68746111166901,127.6944689970707,-1,LONG,0.007007885401691283
2025-02-07 03:25:00,127.7,127.66568549666279,127.66493375776624,1,SHORT,0.0007517388965538885
2025-02-07 05:09:00,128.49,128.69864933453098,128.72625008365534,-1,LONG,0.02760074912436039
2025-02-07 05:41:00,129.06,128.5538056173664,128.48763260305887,1,SHORT,0.06617301430753741
2025-02-07 07:01:00,129.39,129.70292247871234,129.73294329921814,-1,LONG,0.03002082050579702
2025-02-07 07:28:00,129.2789,129.0208447685216,129.0200734585541,1,SHORT,0.0007713099675186186
2025-02-07 07:54:00,128.62,129.29990733173958,129.34315997977902,-1,LONG,0.04325264803944151
2025-02-07 08:21:00,129.2,129.05162460019739,129.0384894285888,1,SHORT,0.013135171608581686
2025-02-07 08:22:00,128.93,129.02951103652512,129.03149011061535,-1,LONG,0.00197907409022946
2025-02-07 08:23:00,129.13,129.0477817571569,129.03784558734986,1,SHORT,0.009936169807048145
2025-02-07 08:27:00,128.775,128.9964915312278,129.02306505782371,-1,LONG,0.026573526595910835
2025-02-07 09:12:00,128.58,128.34459404754492,128.32467445639813,1,SHORT,0.019919591146788207
2025-02-07 09:19:00,128.0101,128.29743955890729,128.33545236186052,-1,LONG,0.03801280295323295
2025-02-07 09:38:00,128.435,128.25878621144503,128.23653848511884,1,SHORT,0.022247726326185102
2025-02-07 10:37:00,129.1,129.20543296516325,129.21707068259937,-1,LONG,0.01163771743611619
2025-02-07 11:38:00,128.5001,128.2868243961201,128.28119626753977,1,SHORT,0.005628128580326575
2025-02-07 12:04:00,128.4,128.47991706480713,128.48513867343536,-1,LONG,0.005221608628232843
2025-02-07 12:06:00,128.5965,128.4929444813998,128.4886936777931,1,SHORT,0.0042508036067090416
2025-02-07 12:08:00,128.425,128.477921512342,128.48375794279292,-1,LONG,0.005836430450926855
2025-02-07 12:18:00,128.61,128.4719292369363,128.46574149615194,1,SHORT,0.006187740784355356
